timestamp,pixelCount
timestamp,pixelCount
2026-07-19 06:23:00,79
2026-07-19 06:24:00,45
2026-07-19 06:25:00,68
2026-07-19 06:26:00,64
2026-07-19 06:27:00,53
2026-07-19 06:28:00,59
2026-07-19 06:29:00,78
2026-07-19 06:30:00,88
2026-07-19 06:31:00,74
2026-07-19 06:32:00,60
2026-07-19 06:33:00,79
2026-07-19 06:34:00,65
2026-07-19 06:35:00,62
2026-07-19 06:36:00,102
2026-07-19 06:37:00,62
2026-07-19 06:38:00,77
2026-07-19 06:39:00,69
2026-07-19 06:40:00,77
2026-07-19 06:41:00,56
2026-07-19 06:42:00,63
2026-07-19 06:43:00,77
2026-07-19 06:44:00,76
2026-07-19 06:45:00,58
2026-07-19 06:46:00,66
2026-07-19 06:47:00,49
2026-07-19 06:48:00,53
2026-07-19 06:49:00,63
2026-07-19 06:50:00,55
2026-07-19 06:51:00,73
2026-07-19 06:52:00,61
2026-07-19 06:53:00,47
2026-07-19 06:54:00,87
2026-07-19 06:55:00,81
2026-07-19 06:56:00,59
2026-07-19 06:57:00,86
2026-07-19 06:58:00,88
2026-07-19 06:59:00,56
2026-07-19 07:00:00,52
2026-07-19 07:01:00,97
2026-07-19 07:02:00,71
2026-07-19 07:03:00,85
2026-07-19 07:04:00,84
2026-07-19 07:05:00,97
2026-07-19 07:06:00,56
2026-07-19 07:07:00,71
2026-07-19 07:08:00,75
2026-07-19 07:09:00,69
2026-07-19 07:10:00,75
2026-07-19 07:11:00,78
2026-07-19 07:12:00,91
2026-07-19 07:13:00,70
2026-07-19 07:14:00,89
2026-07-19 07:15:00,94
2026-07-19 07:16:00,66
2026-07-19 07:17:00,60
2026-07-19 07:18:00,99
2026-07-19 07:19:00,90
2026-07-19 07:20:00,61
2026-07-19 07:21:00,79
2026-07-19 07:22:00,89
2026-07-19 07:23:00,90
2026-07-19 07:24:00,115
2026-07-19 07:25:00,85
2026-07-19 07:26:00,66
2026-07-19 07:27:00,69
2026-07-19 07:28:00,109
2026-07-19 07:29:00,85
2026-07-19 07:30:00,80
2026-07-19 07:31:00,105
2026-07-19 07:32:00,77
2026-07-19 07:33:00,87
2026-07-19 07:34:00,78
2026-07-19 07:35:00,108
2026-07-19 07:36:00,63
2026-07-19 07:37:00,78
2026-07-19 07:38:00,93
2026-07-19 07:39:00,69
2026-07-19 07:40:00,66
